Peer39 Category,Category ID
Mobile Apps : Mobile App Categories : Food & Drink Apps,26715
Mobile Apps : Mobile App Categories : Health & Fitness Apps,26716
Mobile Apps : Mobile App Categories : House & Home Apps,19227
Mobile Apps : Mobile App Categories : Lifestyle Apps,26718
"Mobile Apps : Mobile App Categories : Media, Photo & Video Apps",26720
Mobile Apps : Mobile App Categories : Medical Apps,26721
Mobile Apps : Mobile App Categories : Mobile Games Apps,26736
Mobile Apps : Mobile App Categories : Mobile Games Apps : Action Games,26737
Mobile Apps : Mobile App Categories : Mobile Games Apps : Adventure Games,26738
Mobile Apps : Mobile App Categories : Mobile Games Apps : Arcade Games,26739
Mobile Apps : Mobile App Categories : Mobile Games Apps : Board Games,26740
Mobile Apps : Mobile App Categories : Mobile Games Apps : Card Games,26741
Mobile Apps : Mobile App Categories : Mobile Games Apps : Casino Games,26742
Mobile Apps : Mobile App Categories : Mobile Games Apps : Casual Games,26743
Mobile Apps : Mobile App Categories : Mobile Games Apps : Dice Games,26744
Mobile Apps : Mobile App Categories : Mobile Games Apps : Educational Games,26745
Mobile Apps : Mobile App Categories : Mobile Games Apps : Family Games,26746
Mobile Apps : Mobile App Categories : Mobile Games Apps : Music Games,26748
Mobile Apps : Mobile App Categories : Mobile Games Apps : Puzzle Games,26749
Mobile Apps : Mobile App Categories : Mobile Games Apps : Racing Games,26750
Mobile Apps : Mobile App Categories : Mobile Games Apps : Role Playing Games,26751
Mobile Apps : Mobile App Categories : Mobile Games Apps : Simulation Games,26752
Mobile Apps : Mobile App Categories : Mobile Games Apps : Sports Games,26753
Mobile Apps : Mobile App Categories : Mobile Games Apps : Strategy Games,26754
Mobile Apps : Mobile App Categories : Mobile Games Apps : Trivia Games,26755
Mobile Apps : Mobile App Categories : Mobile Games Apps : Word Games,26756
Mobile Apps : Mobile App Categories : Music & Audio Apps,26723
Mobile Apps : Mobile App Categories : Navigation & Transportation Apps,26724
Mobile Apps : Mobile App Categories : News & Magazine Apps,26725
Mobile Apps : Mobile App Categories : Personalization Apps,26726
Mobile Apps : Mobile App Categories : Productivity Apps,26728
Mobile Apps : Mobile App Categories : Shopping Apps,26729
Mobile Apps : Mobile App Categories : Social & Communication Apps,26730
Mobile Apps : Mobile App Categories : Sports Apps,26731
Mobile Apps : Mobile App Categories : Travel Apps,26732
Mobile Apps : Mobile App Categories : Utility Apps,26733
Mobile Apps : Mobile App Categories : Weather Apps,26734
Mobile Apps : Mobile App Quality,5069
Mobile Apps : Mobile App Quality : High Quality,5138
Mobile Apps : Mobile App Quality : Low Quality,5087
Mobile Apps : Negative Apps,16447
Mobile Apps : Negative Apps : Alcohol,19734
Mobile Apps : Negative Apps : Copyright Infringement,16459
Mobile Apps : Negative Apps : Drugs,19746
Mobile Apps : Negative Apps : Gambling,19770
Mobile Apps : Negative Apps : Mature,19758
Mobile Apps : Negative Apps : Mobile Torrent,16471
Mobile Apps : Negative Apps : Profanity and Hate Speech,28006
Mobile Apps : Negative Apps : Violence,19722
Mobile Apps : Popularity,26757
Mobile Apps : Popularity : High Popularity,26758
Mobile Apps : Popularity : Low Popularity,26759
Mobile Apps : Popularity : Medium Popularity,26760
Mobile Apps : Popularity : Very High Popularity,26761
Mobile Apps : Price,26601
Mobile Apps : Price : Free Apps,26602
Mobile Apps : Price : In-app Purchases,26699
Mobile Apps : Price : Paid Apps,26603
Mobile Apps : Top Ranked Apps,26762
Mobile Apps : Uncertified Apps,31781
Mobile Apps : User Rating,26763
Mobile Apps : User Rating : Rated 0-2,26764
Mobile Apps : User Rating : Rated 3+,26765
Mobile Apps : User Rating : Rated 4+,26766
Negative,8299
Negative : Accidents,8416
Negative : Adult & Explicit Sexual Content - formerly Mature,8362
Negative : Adult & Explicit Sexual Content : GARM Low Risk,51929
Negative : Adult & Explicit Sexual Content : GARM Medium Risk,51953
Negative : Alcohol,12722
Negative : Arms & Ammunition - formerly Firearms,15910
Negative : Arms & Ammunition : GARM Low Risk,51977
Negative : Arms & Ammunition : GARM Medium Risk,52001
Negative : Controversial Subjects,13494
Negative : Crime & Harmful acts - formerly Crime,8363
Negative : Crime & Harmful acts : GARM Low Risk,52025
Negative : Crime & Harmful acts : GARM Medium Risk,52049
Negative : Death,8274
"Negative : Death, Injury or Military Conflict - formerly Death, War",46828
"Negative : Death, Injury or Military Conflict : GARM Low Risk",52073
"Negative : Death, Injury or Military Conflict : GARM Medium Risk",52097
Negative : Debated Sensitive Social Issues,47913
Negative : Debated Sensitive Social Issues : GARM Low Risk,52121
Negative : Debated Sensitive Social Issues : GARM Medium Risk,52145
Negative : Disasters,8301
Negative : Drugs,8397
Negative : Fake & Partisan News,32168
Negative : Gambling,23666
Negative : Hate speech,8422
Negative : Hate speech : GARM Low Risk,52169
Negative : Hate speech : GARM Medium Risk,52193
"Negative : Illegal Drugs_Tobacco_e-cigarettes_Vaping_Alcohol - formerly Drugs, Tobacco, Smoking, Vaping, Alcohol",46830
Negative : Illegal Drugs_Tobacco_e-cigarettes_Vaping_Alcohol : GARM Low Risk,52219
Negative : Illegal Drugs_Tobacco_e-cigarettes_Vaping_Alcohol : GARM Medium Risk,52242
Negative : Negative News,10646
Negative : Obscenity and Profanity,46829
Negative : Obscenity and Profanity : GARM Low Risk,52266
Negative : Obscenity and Profanity : GARM Medium Risk,52290
Negative : Online piracy - formerly Torrent,8268
Negative : Online piracy : GARM Low Risk,52314
Negative : Online piracy : GARM Medium Risk,52338
Negative : Spam or Harmful Content,46831
Negative : Spam or Harmful Content : GARM Low Risk,52362
Negative : Spam or Harmful Content : GARM Medium Risk,52386
Negative : Terrorism - formerly War & Terror,8300
Negative : Terrorism : GARM Low Risk,52410
Negative : Terrorism : GARM Medium Risk,52434
Negative : Tobacco,12721
Negative Industry,46658
Negative Industry : Airline,40739
Negative Industry : Automotive,40740
Negative Industry : Clothing,40741
Negative Industry : Coronavirus,43976
Negative Industry : Finance,46136
Negative Industry : Oil,40742
Negative Industry : Pharmaceutical,44544
Negative Industry : Travel,40743
News,8302
News : Africa and MiddleEast,8305
News : AsiaPacific,8366
News : Australia and NewZealand,8367
News : Breaking News,52965
News : Commuting,8289
News : Europe,8304
News : Government,8290
News : HealthCare,22163
News : LatinAmerica,8306
News : Local,9432
News : Opinion,62635
News : Politics,8364
News : Transportation,8284
News : US and Canada,8365
News : Weather,8303
Other,8370
Parenting and Kids,8368
Parenting and Kids : Babies,8369
Parenting and Kids : Pregnancy,8307
Pets,8331
Pets : Cats,11167
Pets : Dogs,11168
Predicted Viral Content,5111
Page Signal,8398
Page Signal : Ad Clutter,4672
Page Signal : Ad Count,28510
Page Signal : Ad Count : High 7+,28514
Page Signal : Ad Count : Low 1-3,28516
Page Signal : Ad Count : Medium 4-6,28515
Page Signal : Ad Viewability Index,28509
Page Signal : Ad Viewability Index : High,28511
Page Signal : Ad Viewability Index : Low,28513
Page Signal : Ad Viewability Index : Medium,28512
Page Signal : Ad Viewability Index : Very Low,8838
Page Signal : CRE,8399
Page Signal : Flash Games,40732
Page Signal : Free from Apps and Toolbars,14815
Page Signal : Free From Parked Domains,17177
Page Signal : Free from UGC,8415
Page Signal : Free from UGC Facebook OK,18154
Page Signal : Free from Unmoderated UGC,8420
Page Signal : Home_Index Page,12682
Page Signal : Login Page,26383
Page Signal : Mobile Web Page,20099
Page Signal : Outstream Video Enabled,51799
Page Signal : Published Within 48 Hours,5172
Page Signal : Social Media Activity,5224
Page Signal : Social Media Activity : Above Average,5246
Page Signal : Social Media Activity : Below Average,5239
Page Signal : Social Media Activity : High,5236
Page Signal : Social Media Activity : Low,5229
Page Signal : Social Media Activity : None,5233
Page Signal : Social Media Activity : Very High,5243
Page Signal : Sponsored Content_Native Advertising,46736
Page Signal : Transparent Inventory,14817
Page Signal : Video Location,20598
Page Signal : Video Location : ATF Center,20599
Page Signal : Video Location : ATF Side,20600
Page Signal : Video Location : BTF,20601
Page Signal : Video Size,20602
Page Signal : Video Size : Large,20603
Page Signal : Video Size : Medium,20604
Page Signal : Video Size : Small,20605
Page Signal : Video Size : X-Large,21344
Page Signal : Video_Autoplay,20606
Page Signal : Video_Multiple Players,20607
RealEstate,8308
RealEstate : Commercial,14495
RealEstate : Rental,15911
RealEstate : Residential,15912
RealEstate : Sales,14496
Recreation and Games,8318
Recreation and Games : Board and Card Games,12763
Recreation and Games : Gambling,8319
Recreation and Games : Hobbies and Interests,8401
Recreation and Games : Hobbies and Interests : Genealogy,23917
Recreation and Games : Online Games,8410
Recreation and Games : Toys,31749
Reference,8335
Reference : Maps,9431
Relationships,8353
Relationships : Singles and Dating,8386
Relationships : Weddings,10360
Safe from Accidents,40734
Safe from Adult & Explicit Sexual Content,8393
Safe from Alcohol,8396
Safe from Arms & Ammunition,15913
Safe from Controversial Subjects,33331
Safe from Coronavirus,30827
Safe from Crime & Harmful acts,40735
Safe from Death,40736
"Safe from Death, Injury or Military Conflict",47865
Safe from Debated Sensitive Social Issues,47942
Safe from Disasters,40737
Safe from Drugs,8412
Safe from Gambling,8395
Safe from Hate speech,8413
Safe from Illegal Drugs/Tobacco/e-cigarettes/Vaping/Alcohol,47841
Safe from Negative Airline Content,18885
Safe from Negative Auto Industry Content,22974
Safe from Negative Clothing Industry Content,24646
Safe from Negative Coronavirus content,44001
Safe from Negative Finance Industry,46162
Safe from Negative News,8394
Safe from Negative Oil Industry Content,12718
Safe from Negative Pharmaceutical Industry Content,44569
Safe from Negative Travel Industry Content,24718
Safe from Obscenity and Profanity,46832
Safe from Online piracy,8408
Safe from Spam & Harmful Content,47889
Safe from Terrorism,40738
Safe from Tobacco,12720
Sciences,8332
Sciences : Astronomy,22563
Sciences : Biology,22523
Sciences : Botany,22607
Sciences : Earth Science,13200
Sciences : Engineering,13201
Sciences : Mathematics,13202
Seasonal,10361
Seasonal : 3 Kings,22420
Seasonal : Australia Day,40744
Seasonal : Back to School,14174
Seasonal : Beer Festivals,23356
Seasonal : BlackFriday_CyberMonday,1287
Seasonal : Carnival_Mardi Gras,22419
Seasonal : Christmas,10363
Seasonal : Easter,17028
Seasonal : Fathers Day,12998
Seasonal : French Open,22422
Seasonal : Golden Week,40745
Seasonal : Grand National,26374
Seasonal : Halloween,14818
Seasonal : Holiday Cooking,14194
Seasonal : Holiday Shopping,14195
Seasonal : Holiday Toys,14196
Seasonal : Holiday Travel,14197
Seasonal : Independence Day,27499
Seasonal : Jewish Holidays,22336
Seasonal : March Madness,21898
Seasonal : Melbourne Cup,18469
Seasonal : Mothers Day,12840
Seasonal : New Years,15914
Seasonal : Rugby World Cup,28772
Seasonal : Sailing Events,18922
Seasonal : Super Bowl,10458
Seasonal : Thanksgiving,10362
Seasonal : Tour de France,28460
Seasonal : UEFA European Championship,8911
Seasonal : Valentines Day,10465
Seasonal : Wimbledon,21233
Seasonal : Winter Olympics,20464
Seasonal : World Cup,21234
Sentiment,40728
Sentiment : Negative Sentiment,40730
Sentiment : Neutral Sentiment,30491
Sentiment : Positive Sentiment,40729
Shopping,8392
Shopping : Coupons,8285
Society,8311
Society : Holidays and Celebrations,8404
Society : Law and Ethics,8403
Society : Religion and Spirituality,8419
Sports,8320
Sports : Baseball,8324
Sports : Basketball,8325
Sports : Boxing,8326
Sports : Cricket,3844
Sports : Cycling,22238
Sports : Football,8315
Sports : Golf,8327
Sports : Hockey,8316
Sports : HorseRacing,8330
Sports : Martial Arts,12764
Sports : Motorsports,8313
Sports : Olympics,12821
Sports : OutdoorRecreation,8321
Sports : OutdoorRecreation : Fishing,23270
Sports : Rugby,23834
Sports : Running,23878
Sports : Soccer,8329
Sports : Surfing,15058
Sports : Swimming and Diving,13203
Sports : Tennis,8328
Sports : WinterSports,8336
Sports : WinterSports : Skiing,8400
Sports : Wrestling,23232
Style and Fashion,8338
Style and Fashion : Beauty,23667
Style and Fashion : BodyArt,8314
Style and Fashion : Clothing and Accessories,8339
Style and Fashion : Cosmetics,8375
Style and Fashion : HairCare,8340
Style and Fashion : SkinCare,8341
Technology,8346
Technology : Android,31114
Technology : Apple,9433
Technology : Apple : iPhones,6791
Technology : Cameras & Camcorders,23668
Technology : Cloud Computing,21682
Technology : Computers,8378
Technology : Computers : Hardware,8354
Technology : Computers : Software,8387
Technology : Enterprise Computing,21293
Technology : GreenTech,20785
Technology : Home Entertainment,8355
Technology : Home Entertainment : Media Streaming Devices,10502
Technology : Home Entertainment : Media Streaming Services,12395
Technology : Internet of Things,22675
Technology : Internet of Things : Connected Cars,22717
Technology : Internet of Things : Smart Cities,23850
Technology : Internet of Things : Smart Home,25188
Technology : Internet of Things : Wearable Technology,25214
Technology : Mobile,8388
Technology : Tablets,6816
Technology : VideoGames,8389
Technology : Web and Graphic Design,20507
Travel,8322
Travel : Air,8323
Travel : Car Rental,20860
Travel : Cruise,8407
Travel : Destinations,13449
Travel : Destinations : Dubai,19270
Travel : Destinations : Europe,18815
Travel : Destinations : Europe : Croatia,19266
Travel : Destinations : Europe : France,19267
Travel : Destinations : Europe : Germany,19268
Travel : Destinations : Europe : Greece,19275
Travel : Destinations : Europe : Italy,19271
Travel : Destinations : Europe : Poland,19274
Travel : Destinations : Europe : Portugal,19269
Travel : Destinations : Florida,13450
Travel : Destinations : Hawaii,14452
Travel : Destinations : Japan,19273
Travel : Destinations : Las Vegas,16563
Travel : Destinations : New York,27875
Travel : Destinations : South Africa,19272
Travel : Destinations : Southern California,15915
Travel : Hotels and Accommodation,20699
Travel : Theme,8405
Travel : Theme : Adventure,8430
Travel : Theme : Beach,8402
Travel : Theme : Family Travel,19239
Travel : Theme : Winter,8433
Travel : Theme Parks ,17073
Trends,4386
Weather,26807
Weather : Alerts,40746
Weather : Alerts : Avalanche,40747
Weather : Alerts : Dust Storm,40754
Weather : Alerts : Extreme Cold,40755
Weather : Alerts : Fire Danger,40756
Weather : Alerts : Flood,40757
Weather : Alerts : Heat Wave,40758
Weather : Alerts : Heavy Fog,40759
Weather : Alerts : Hurricane,40760
Weather : Alerts : Tornado,40763
Weather : Alerts : Tsunami,40761
Weather : Alerts : Typhoon,40762
Weather : Barometric Pressure,43484
Weather : Barometric Pressure : 950-980 millibars,43547
Weather : Barometric Pressure : 981-990 millibars,43556
Weather : Barometric Pressure : 991-1000 millibars,43566
Weather : Barometric Pressure : 1001-1010 millibars,43497
Weather : Barometric Pressure : 1011-1013.24 millibars,43502
Weather : Barometric Pressure : 1013.25 millibars,43516
Weather : Barometric Pressure : 1013.26-1020 millibars,43520
Weather : Barometric Pressure : 1021-1030 millibars,43529
Weather : Barometric Pressure : 1031-1042 millibars,43543
Weather : Conditions,26808
Weather : Conditions : Clear,26821
Weather : Conditions : Cloudy,26811
Weather : Conditions : Dry,26812
Weather : Conditions : Hailstorm,26813
Weather : Conditions : Heavy Rain,26814
Weather : Conditions : Heavy Snow,26815
Weather : Conditions : Humid,26816
Weather : Conditions : Icy,26817
Weather : Conditions : Partly Cloudy,26818
Weather : Conditions : Rain,26819
Weather : Conditions : Snow,26820
Weather : Conditions : Thunderstorm,26822
Weather : Conditions : Windy,26823
Weather : Feels Like Celsius,40769
Weather : Feels Like Celsius : 1-5,40770
Weather : Feels Like Celsius : 6-10,40771
Weather : Feels Like Celsius : 11-15,40772
Weather : Feels Like Celsius : 16-20,40773
Weather : Feels Like Celsius : 21-25,40774
Weather : Feels Like Celsius : 26-30,40775
Weather : Feels Like Celsius : 31-35,40776
Weather : Feels Like Celsius : 36+,40777
Weather : Feels Like Celsius : 42+,40778
Weather : Feels Like Celsius : Below 0,40779
Weather : Feels Like Fahrenheit,40780
Weather : Feels Like Fahrenheit : 30s,40781
Weather : Feels Like Fahrenheit : 40s,40782
Weather : Feels Like Fahrenheit : 50s,40783
Weather : Feels Like Fahrenheit : 60s,40784
Weather : Feels Like Fahrenheit : 70s,40785
Weather : Feels Like Fahrenheit : 80s,40786
Weather : Feels Like Fahrenheit : 90s,40787
Weather : Feels Like Fahrenheit : 100+,40788
Weather : Feels Like Fahrenheit : Below 30,40789
Weather : Flu Activity,40764
Weather : Flu Activity : Mild,40765
Weather : Flu Activity : None,40766
Weather : Flu Activity : Severe,40767
Weather : Flu Activity : Weak,40768
Weather : Temperature Celsius,26810
Weather : Temperature Celsius : 1-5,26846
Weather : Temperature Celsius : 6-10,26845
Weather : Temperature Celsius : 11-15,26844
Weather : Temperature Celsius : 16-20,26843
Weather : Temperature Celsius : 21-25,26842
Weather : Temperature Celsius : 26-30,26841
Weather : Temperature Celsius : 31-35,26840
Weather : Temperature Celsius : 36+,26839
Weather : Temperature Celsius : Below 0,26847
Weather : Temperature Fahrenheit,26809
Weather : Temperature Fahrenheit : 30s,26833
Weather : Temperature Fahrenheit : 40s,26832
Weather : Temperature Fahrenheit : 50s,26831
Weather : Temperature Fahrenheit : 60s,26830
Weather : Temperature Fahrenheit : 70s,26829
Weather : Temperature Fahrenheit : 80s,26828
Weather : Temperature Fahrenheit : 90s,26827
Weather : Temperature Fahrenheit : 100+,26826
Weather : Temperature Fahrenheit : Below 30,26834
OTT-CTV,57013
OTT-CTV : App Store,62463
OTT-CTV : App Store : Amazon,62503
OTT-CTV : App Store : Apple,62511
OTT-CTV : App Store : GooglePlay,62519
OTT-CTV : App Store : LG,62527
OTT-CTV : App Store : Microsoft,62535
OTT-CTV : App Store : Roku,62551
OTT-CTV : App Store : Samsung,62543
OTT-CTV : App Store : Sony Playstation,62559
OTT-CTV : App Store : VEWD,62567
OTT-CTV : App Store : Vizio,62575
OTT-CTV : App Store : Xfinity,62583
OTT-CTV : Broadcast Type,62471
OTT-CTV : Broadcast Type : Linear TV,62591
OTT-CTV : Broadcast Type : Mixed,62599
OTT-CTV : Broadcast Type : VOD,62608
OTT-CTV : Content Category,62343
OTT-CTV : Content Category : Adult,62656
OTT-CTV : Content Category : Anime,62664
OTT-CTV : Content Category : Arts & Culture,62672
OTT-CTV : Content Category : Automotive,62688
OTT-CTV : Content Category : Business&Finance,62680
OTT-CTV : Content Category : Cartoon,62696
OTT-CTV : Content Category : DIY,62704
OTT-CTV : Content Category : Documentary,62712
OTT-CTV : Content Category : Education,62720
OTT-CTV : Content Category : Entertainment,62728
OTT-CTV : Content Category : Entertainment : Celebrities and Gossip,62736
OTT-CTV : Content Category : Entertainment : Comedy,62744
OTT-CTV : Content Category : Entertainment : eSports&Gaming,62752
OTT-CTV : Content Category : Entertainment : Game Shows,62760
OTT-CTV : Content Category : Entertainment : Horror,62768
OTT-CTV : Content Category : Entertainment : Movies,62776
OTT-CTV : Content Category : Entertainment : Music,62784
OTT-CTV : Content Category : Entertainment : Reality,62792
OTT-CTV : Content Category : Entertainment : Series,62800
OTT-CTV : Content Category : Entertainment : Talk Shows,62808
OTT-CTV : Content Category : Entertainment : TV Shows,62818
OTT-CTV : Content Category : Entertainment : Viral Videos,62824
OTT-CTV : Content Category : Family&Kids,62832
OTT-CTV : Content Category : Fashion,62840
OTT-CTV : Content Category : Fitness,62848
OTT-CTV : Content Category : Food&Beverage,62856
OTT-CTV : Content Category : Gamers&Gaming,62864
OTT-CTV : Content Category : Health,62872
OTT-CTV : Content Category : History,62880
OTT-CTV : Content Category : Home&Garden,62888
OTT-CTV : Content Category : Innovation,62896
OTT-CTV : Content Category : Inspirational,62904
OTT-CTV : Content Category : Legal,62913
OTT-CTV : Content Category : Lifestyle,62921
OTT-CTV : Content Category : Local,62946
OTT-CTV : Content Category : Military,62329
OTT-CTV : Content Category : Nature,62954
OTT-CTV : Content Category : News,62962
OTT-CTV : Content Category : Pets,62970
OTT-CTV : Content Category : Recreation,62978
OTT-CTV : Content Category : Recreation : OUTDOOR,62986
OTT-CTV : Content Category : Religion,62994
OTT-CTV : Content Category : Sci-Fi,63002
OTT-CTV : Content Category : Science,63010
OTT-CTV : Content Category : Shopping,63018
OTT-CTV : Content Category : Spiritual,63026
OTT-CTV : Content Category : Sports,63034
OTT-CTV : Content Category : Sports : Poker,63042
OTT-CTV : Content Category : Sports : Wrestling,63050
OTT-CTV : Content Category : Supernatural,63058
OTT-CTV : Content Category : Teens,62313
OTT-CTV : Content Category : Travel,63066
OTT-CTV : Content Category : Weather,63074
OTT-CTV : Content Type,57014
OTT-CTV : Content Type : Cable_TV-Channel,57015
OTT-CTV : Content Type : Cable_TV-Channel : 1Church Network,63466
OTT-CTV : Content Type : Cable_TV-Channel : 3sat,63498
OTT-CTV : Content Type : Cable_TV-Channel : 4K Nature Relax TV,63506
OTT-CTV : Content Type : Cable_TV-Channel : 6abc Philadelphia,63514
OTT-CTV : Content Type : Cable_TV-Channel : 7Plus,63522
OTT-CTV : Content Type : Cable_TV-Channel : 9Now,63538
OTT-CTV : Content Type : Cable_TV-Channel : 25WordsorLess,63490
OTT-CTV : Content Type : Cable_TV-Channel : 88 Films,63530
OTT-CTV : Content Type : Cable_TV-Channel : 247 Drama,63474
OTT-CTV : Content Type : Cable_TV-Channel : 247 Retro,63482
OTT-CTV : Content Type : Cable_TV-Channel : 1091 Pictures,63458
OTT-CTV : Content Type : Cable_TV-Channel : A Wealth of Entertainment,63546
OTT-CTV : Content Type : Cable_TV-Channel : A&E Network,63554
OTT-CTV : Content Type : Cable_TV-Channel : AajTak,63562
OTT-CTV : Content Type : Cable_TV-Channel : ABC,63570
OTT-CTV : Content Type : Cable_TV-Channel : ABC 5 Cleveland,63578
OTT-CTV : Content Type : Cable_TV-Channel : ABC 7 Chicago,63586
OTT-CTV : Content Type : Cable_TV-Channel : ABC News Live,63594
OTT-CTV : Content Type : Cable_TV-Channel : ABC7 Bay Area,63642
OTT-CTV : Content Type : Cable_TV-Channel : ABC7 Chicago,63634
OTT-CTV : Content Type : Cable_TV-Channel : ABC7 Los Angeles,63651
OTT-CTV : Content Type : Cable_TV-Channel : ABC7 New York,63659
